id,prompt_en,prompt_zh,prompt_ms,prompt_ta,weight,yesValue,noValue,category,explanation_en,explanation_zh,explanation_ms,explanation_ta,cancerType,minAge
35,I have never had a Pap smear test or it has been more than 3 years since my last one.,我从未做过子宫颈抹片检查，或距离上次检查已超过3年。,Saya tidak pernah menjalani ujian Pap smear atau sudah lebih 3 tahun sejak ujian terakhir saya.,நான் ஒருபோதும் பாப் ஸ்மியர் சோதனை செய்யவில்லை அல்லது கடைசி சோதனைக்கு 3 வருடங்களுக்கு மேல் ஆகிவிட்டது.,18.0,100,0,Medical History,Regular Pap smears can detect precancerous changes early. Women should have Pap smears every 3 years starting from age 25.,定期子宫颈抹片检查可以早期发现癌前变化。女性应从25岁开始每3年进行一次抹片检查。,Pap smear berkala boleh mengesan perubahan prakanser awal. Wanita perlu menjalani Pap smear setiap 3 tahun bermula dari umur 25 tahun.,வழக்கமான பாப் ஸ்மியர்கள் புற்றுநோய்க்கு முந்தைய மாற்றங்களை ஆரம்பத்தில் கண்டறியலாம். பெண்கள் 25 வயதிலிருந்து ஒவ்வொரு 3 வருடங்களுக்கும் பாப் ஸ்மியர் செய்ய வேண்டும்.,cervical,25
36,I have had multiple sexual partners or started sexual activity at a young age.,我有多个性伴侣或在年轻时开始性活动。,Saya mempunyai beberapa pasangan seksual atau memulakan aktiviti seksual pada usia muda.,எனக்கு பல பாலியல் பங்காளிகள் உள்ளனர் அல்லது இளம் வயதிலேயே பாலியல் செயல்பாட்டைத் தொடங்கினேன்.,12.0,100,0,Lifestyle,"Multiple sexual partners or early sexual activity increases HPV exposure risk, which is linked to cervical cancer.",多个性伴侣或早期性活动会增加HPV暴露风险，这与宫颈癌有关。,"Beberapa pasangan seksual atau aktiviti seksual awal meningkatkan risiko pendedahan HPV, yang dikaitkan dengan kanser serviks.","பல பாலியல் பங்காளிகள் அல்லது ஆரம்ப பாலியல் செயல்பாடு HPV வெளிப்பாடு ஆபத்தை அதிகரிக்கிறது, இது கர்ப்பப்பை வாய் புற்றுநோயுடன் தொடர்புடையது.",cervical,
37,I am a smoker or live with someone who smokes.,我是吸烟者或与吸烟者一起生活。,Saya seorang perokok atau tinggal dengan seseorang yang merokok.,நான் புகைபிடிப்பவன் அல்லது புகைபிடிக்கும் ஒருவருடன் வாழ்கிறேன்.,10.0,100,0,Lifestyle,Smoking increases cervical cancer risk by damaging cervical cells and weakening the immune system's ability to fight HPV.,吸烟通过损害宫颈细胞和削弱免疫系统对抗HPV的能力来增加宫颈癌风险。,Merokok meningkatkan risiko kanser serviks dengan merosakkan sel serviks dan melemahkan keupayaan sistem imun untuk melawan HPV.,புகைபிடித்தல் கர்ப்பப்பை வாய் செல்களை சேதப்படுத்துவதன் மூலமும் HPV-க்கு எதிராக போராட நோயெதிர்ப்பு மண்டலத்தின் திறனை பலவீனப்படுத்துவதன் மூலமும் கர்ப்பப்பை வாய் புற்றுநோய் ஆபத்தை அதிகரிக்கிறது.,cervical,
38,I have experienced unusual vaginal discharge with a foul odor.,我有异常阴道分泌物，有恶臭。,Saya mengalami keluar cecair faraj yang luar biasa dengan bau busuk.,துர்நாற்றத்துடன் அசாதாரண பிறப்புறுப்பு சுரப்பு அனுபவித்தேன்.,15.0,100,0,Medical History,Unusual vaginal discharge can be a symptom of cervical cancer and should be evaluated by a doctor.,异常阴道分泌物可能是宫颈癌的症状，应由医生评估。,Keluar cecair faraj yang luar biasa boleh menjadi gejala kanser serviks dan perlu dinilai oleh doktor.,அசாதாரண பிறப்புறுப்பு சுரப்பு கர்ப்பப்பை வாய் புற்றுநோயின் அறிகுறியாக இருக்கலாம் மற்றும் மருத்துவரால் மதிப்பீடு செய்யப்பட வேண்டும்.,cervical,
39,I have difficulty starting urination or have a weak urine stream.,我难以开始排尿或尿流较弱。,Saya mengalami kesukaran memulakan kencing atau mempunyai aliran air kencing yang lemah.,சிறுநீர் கழிப்பதைத் தொடங்குவதில் சிரமம் அல்லது பலவீனமான சிறுநீர் ஓட்டம் உள்ளது.,20.0,100,0,Medical History,Difficulty urinating or weak urine stream can be symptoms of prostate problems including prostate cancer.,排尿困难或尿流弱可能是前列腺问题的症状，包括前列腺癌。,Kesukaran kencing atau aliran air kencing yang lemah boleh menjadi gejala masalah prostat termasuk kanser prostat.,சிறுநீர் கழிப்பதில் சிரமம் அல்லது பலவீனமான சிறுநீர் ஓட்டம் புரோஸ்டேட் புற்றுநோய் உட்பட புரோஸ்டேட் பிரச்சினைகளின் அறிகுறிகளாக இருக்கலாம்.,prostate,
40,I have blood in my urine or semen.,我的尿液或精液中有血。,Saya mempunyai darah dalam air kencing atau air mani saya.,என் சிறுநீர் அல்லது விந்துவில் இரத்தம் உள்ளது.,24.0,100,0,Medical History,Blood in urine or semen can be a warning sign of prostate cancer and requires medical evaluation.,尿液或精液中的血液可能是前列腺癌的警告信号，需要医疗评估。,Darah dalam air kencing atau air mani boleh menjadi tanda amaran kanser prostat dan memerlukan penilaian perubatan.,சிறுநீர் அல்லது விந்துவில் இரத்தம் புரோஸ்டேட் புற்றுநோயின் எச்சரிக்கை அறிகுறியாக இருக்கலாம் மற்றும் மருத்துவ மதிப்பீடு தேவை.,prostate,
41,I am a man aged 50 or older and have never had a prostate health check.,我是一名50岁或以上的男性，从未进行过前列腺健康检查。,Saya seorang lelaki berumur 50 tahun atau lebih dan tidak pernah menjalani pemeriksaan kesihatan prostat.,நான் 50 வயது அல்லது அதற்கு மேற்பட்ட ஆண் மற்றும் ஒருபோதும் புரோஸ்டேட் சுகாதார பரிசோதனை செய்யவில்லை.,18.0,100,0,Medical History,"Men over 50 should discuss prostate screening with their doctor, especially if they have a family history of prostate cancer.",50岁以上的男性应与医生讨论前列腺筛查，特别是如果有前列腺癌家族史。,"Lelaki berumur lebih 50 tahun perlu berbincang tentang saringan prostat dengan doktor mereka, terutamanya jika mempunyai sejarah keluarga kanser prostat.","50 வயதுக்கு மேற்பட்ட ஆண்கள் புரோஸ்டேட் பரிசோதனை பற்றி தங்கள் மருத்துவரிடம் விவாதிக்க வேண்டும், குறிப்பாக புரோஸ்டேட் புற்றுநோய் குடும்ப வரலாறு இருந்தால்.",prostate,50
42,My father or brother has had prostate cancer.,我的父亲或兄弟患过前列腺癌。,Ayah atau abang saya pernah menghidap kanser prostat.,என் தந்தை அல்லது சகோதரருக்கு புரோஸ்டேட் புற்றுநோய் இருந்தது.,16.0,100,0,Family & Genetics,Family history of prostate cancer significantly increases your risk. You may need earlier screening.,前列腺癌家族史会显著增加您的风险。您可能需要更早筛查。,Sejarah keluarga kanser prostat meningkatkan risiko anda dengan ketara. Anda mungkin perlu saringan lebih awal.,புரோஸ்டேட் புற்றுநோய் குடும்ப வரலாறு உங்கள் ஆபத்தை கணிசமாக அதிகரிக்கிறது. நீங்கள் முந்தைய பரிசோதனை தேவைப்படலாம்.,prostate,
43,"I have frequent urination, especially at night.",我经常排尿，特别是在晚上。,"Saya kerap kencing, terutamanya pada waktu malam.","அடிக்கடி சிறுநீர் கழிக்கிறேன், குறிப்பாக இரவில்.",14.0,100,0,Medical History,"Frequent urination, especially at night, can be a symptom of prostate enlargement or prostate cancer.",频繁排尿，特别是在晚上，可能是前列腺肥大或前列腺癌的症状。,"Kencing kerap, terutamanya pada waktu malam, boleh menjadi gejala pembesaran prostat atau kanser prostat.","அடிக்கடி சிறுநீர் கழித்தல், குறிப்பாக இரவில், புரோஸ்டேட் விரிவாக்கம் அல்லது புரோஸ்டேட் புற்றுநோயின் அறிகுறியாக இருக்கலாம்.",prostate,
44,"I have pain in my hips, back, or pelvis that doesn't go away.",我的臀部、背部或骨盆有持续不消的疼痛。,"Saya mengalami sakit di pinggul, belakang, atau pelvis yang tidak hilang.","என் இடுப்பு, முதுகு அல்லது இடுப்பெலும்பில் நீங்காத வலி உள்ளது.",22.0,100,0,Medical History,"Persistent bone pain in hips, back, or pelvis can indicate advanced prostate cancer that has spread to bones.",臀部、背部或骨盆的持续骨痛可能表明前列腺癌已扩散到骨骼。,"Sakit tulang berterusan di pinggul, belakang, atau pelvis boleh menunjukkan kanser prostat lanjutan yang telah merebak ke tulang.","இடுப்பு, முதுகு அல்லது இடுப்பெலும்பில் தொடர்ச்சியான எலும்பு வலி முன்னேறிய புரோஸ்டேட் புற்றுநோய் எலும்புகளுக்கு பரவியதை குறிக்கலாம்.",prostate,
